Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Borussia Dortmund,7,5,2,-,23,8,15,17
RB Leipzig,7,4,2,1,16,9,7,14
Borussia M'gladbach,7,4,2,1,15,9,6,14
Werder Bremen,7,4,2,1,13,8,5,14
Hertha BSC,7,4,2,1,12,7,5,14
Bayern Munich,7,4,1,2,12,8,4,13
Eintracht Frankfurt,7,3,1,3,12,11,1,10
1. FSV Mainz 05,7,2,4,1,4,3,1,10
VfL Wolfsburg,7,2,3,2,10,11,-1,9
FC Augsburg,7,2,2,3,14,13,1,8
SC Freiburg,7,2,2,3,9,13,-4,8
1. FC Nurnberg,7,2,2,3,7,16,-9,8
TSG 1899 Hoffenheim,7,2,1,4,11,12,-1,7
FC Schalke 04,7,2,-,5,5,9,-4,6
Hannover 96,7,1,2,4,8,14,-6,5
Fortuna Dusseldorf,7,1,2,4,5,11,-6,5
Bayer Leverkusen,7,1,2,4,6,13,-7,5
VfB Stuttgart,7,1,2,4,6,13,-7,5
