Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Juventus,8,8,-,-,18,5,13,24
Napoli,8,6,-,2,15,10,5,18
Internazionale,8,5,1,2,12,6,6,16
SS Lazio,8,5,-,3,11,9,2,15
Sampdoria,8,4,2,2,12,4,8,14
AS Roma,8,4,2,2,16,10,6,14
Fiorentina,8,4,1,3,14,6,8,13
Sassuolo,8,4,1,3,15,14,1,13
Parma,8,4,1,3,10,9,1,13
AC Milan,7,3,3,1,15,10,5,12
Torino,8,3,3,2,9,9,0,12
Genoa,7,4,-,3,12,14,-2,12
Cagliari,8,2,3,3,6,9,-3,9
SPAL,8,3,-,5,6,10,-4,9
Udinese,8,2,2,4,8,10,-2,8
Bologna,8,2,1,5,4,10,-6,7
Atalanta,8,1,3,4,9,11,-2,6
Empoli,8,1,2,5,5,10,-5,5
Chievo,8,-,2,6,6,19,-13,2
Frosinone,8,-,1,7,3,21,-18,1
