Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Sheffield United,12,8,1,3,21,13,8,25
West Bromwich Albion,12,7,3,2,31,17,14,24
Leeds United,12,6,5,1,22,9,13,23
Middlesbrough,12,6,4,2,14,6,8,22
Nottingham Forest,12,4,7,1,17,13,4,19
Sheffield Wednesday,12,5,4,3,19,18,1,19
Brentford,12,4,6,2,20,14,6,18
Derby County,12,5,3,4,15,13,2,18
Norwich City,12,5,3,4,15,15,0,18
Wigan Athletic,12,5,3,4,14,14,0,18
Blackburn Rovers,12,4,6,2,14,15,-1,18
Swansea City,12,4,5,3,12,9,3,17
Bristol City,12,4,4,4,16,14,2,16
Stoke City,12,4,4,4,17,18,-1,16
Bolton Wanderers,12,4,3,5,10,15,-5,15
Birmingham City,12,2,8,2,13,12,1,14
Queens Park Rangers,12,4,2,6,9,19,-10,14
Aston Villa,12,2,7,3,19,20,-1,13
Rotherham United,12,3,2,7,9,19,-10,11
Millwall,12,2,4,6,13,19,-6,10
Reading,12,2,3,7,15,20,-5,9
Preston North End,12,2,3,7,17,24,-7,9
Ipswich Town,12,1,6,5,11,18,-7,9
Hull City,12,2,2,8,10,19,-9,8
